$Date,$Time,TEMPERATURA,SETPOINT,SALIDACONTROL,CAUDAL_FILTRADO,CAUDAL
03/13/17,19:18:21,38.94,35,40,614.8479,617
03/13/17,19:18:22,38.91,35,40,613.5862,603
03/13/17,19:18:23,38.94,35,40,612.7355,618
03/13/17,19:18:24,38.92,35,40,613.5538,610
03/13/17,19:18:25,38.95,35,40,614.3629,616
03/13/17,19:18:26,38.93,35,40,614.7919,616
03/13/17,19:18:27,38.93,35,40,615.1688,612
03/13/17,19:18:28,38.94,35,40,615.7917,621
03/13/17,19:18:29,38.92,35,40,615.7335,603
03/13/17,19:18:30,38.92,35,40,615.5295,614
03/13/17,19:18:31,38.92,35,40,615.9962,613
03/13/17,19:18:32,38.91,35,40,615.4537,607
03/13/17,19:18:33,38.91,35,40,615.6638,626
03/13/17,19:18:34,38.9,35,40,616.7925,613
03/13/17,19:18:35,38.91,35,40,616.1381,612
03/13/17,19:18:36,38.91,35,40,614.4658,597
03/13/17,19:18:37,38.91,35,40,612.5004,604
03/13/17,19:18:38,38.91,35,40,611.5608,611
03/13/17,19:18:39,38.93,35,40,610.4784,598
03/13/17,19:18:40,38.93,35,40,608.9729,612
03/13/17,19:18:41,38.94,35,40,608.9638,605
03/13/17,19:18:42,38.94,35,40,609.6305,617
03/13/17,19:18:43,38.94,35,40,610.1425,615
03/13/17,19:18:44,38.95,35,40,609.8463,607
03/13/17,19:18:45,38.95,35,40,610.2887,626
03/13/17,19:18:46,38.95,35,40,610.9652,605
03/13/17,19:18:47,38.95,35,40,610.1127,612
03/13/17,19:18:48,38.95,35,40,609.7032,610
03/13/17,19:18:49,38.96,35,40,608.7619,603
03/13/17,19:18:50,38.95,35,40,608.2127,619
03/13/17,19:18:51,38.95,35,40,609.0718,613
03/13/17,19:18:52,38.94,35,40,609.2385,612
03/13/17,19:18:53,38.95,35,40,608.8618,604
03/13/17,19:18:54,38.94,35,40,609.0621,614
03/13/17,19:18:55,38.94,35,40,609.3427,598
03/13/17,19:18:56,38.94,35,40,608.5293,607
03/13/17,19:18:57,38.98,35,40,610.0435,618
03/13/17,19:18:58,38.92,35,40,610.6302,606
03/13/17,19:18:59,38.9,35,40,610.8485,618
03/13/17,19:19:00,38.92,35,40,611.525,606
03/13/17,19:19:01,38.94,35,40,612.8,625
03/13/17,19:19:02,38.9,35,40,615.1575,624
03/13/17,19:19:03,38.87,35,40,617.7079,630
03/13/17,19:19:04,38.9,35,40,620.4124,630
03/13/17,19:19:05,38.9,35,40,620.5895,613
03/13/17,19:19:06,38.89,35,40,621.0554,627
03/13/17,19:19:07,38.88,35,40,622.3516,622
03/13/17,19:19:08,38.89,35,40,622.8903,621
03/13/17,19:19:09,38.9,35,40,623.119,625
03/13/17,19:19:10,38.89,35,40,622.5939,609
